"","label","subject","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-mean()","tBodyAccMag-std()","tGravityAccMag-mean()","tGravityAccMag-std()","tBodyAccJerkMag-mean()","tBodyAccJerkMag-std()","tBodyGyroMag-mean()","tBodyGyroMag-std()","tBodyGyroJerkMag-mean()","tBodyGyroJerkMag-std()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-mean()","fBodyAccMag-std()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-std()"
"1","STANDING",1,0.265696920582133,-0.0182981725176081,-0.10784573454611,-0.545795331328326,-0.367716218227378,0.196151041060519,0.744867411573487,-0.0825562579855908,0.072339870389049,-0.959859435936599,-0.951150627458213,0.146578594036311,0.0770930495126801,0.0165908438802305,-0.00910758730117003,-0.524721922818732,-0.470412403511239,0.208920598589625,-0.0208764064320173,-0.0880722729400576,0.0862641666597983,-0.686555715201729,-0.450979810499568,-0.10499394311268,-0.0971120197265994,-0.0417164808293948,-0.0471393985477522,-0.637812687210375,-0.634472244550432,-0.140014582478069,-0.453632943768818,-0.0491918153835735,-0.453632943768818,-0.0491918153835735,-0.545431612066571,0.0359250982402594,-0.475404785802305,-0.117131960956974,-0.639517432642651,-0.128115556073487,-0.531895161258213,-0.406435448904438,-0.596411165253602,-0.553060616663401,-0.390150939647061,-0.946905131729107,-0.547348892435764,-0.507343617969859,-0.695305113832853,-0.543979776127867,-0.466251676533372,-0.950222492449568,-0.623219182311527,-0.505309434070029,-0.553529065425648,-0.708263420861671,-0.429825832648703,-0.956784694409222,-0.478448523354179,-0.688715625787608,-0.499075765624092,-0.637882103117867,-0.535002770337752,-0.506323319276945,-0.645970655298847
"2","STANDING",2,0.273113115788079,-0.0191323183174834,-0.115649958175497,-0.605586497159271,-0.428962986589404,0.194535818751225,0.660782866688742,-0.147219886910411,0.134865335090728,-0.963015508245033,-0.960033560165563,0.0691912329423841,0.0785353156747351,0.00708771249764901,0.000755760748377483,-0.557809603123841,-0.491875889831788,0.155085641165397,-0.0517030657821192,-0.0568420186817881,0.0872599422291391,-0.710648927815894,-0.722943674337748,-0.169148962615563,-0.0875587491668874,-0.0433986835453642,-0.0557541828188742,-0.671679103311258,-0.783595466728477,-0.239284362336755,-0.535281800541722,-0.0570892316399371,-0.535281800541722,-0.0570892316399371,-0.58777744543543,0.0688931637195364,-0.614771054893146,-0.0766789491913907,-0.746559539039735,-0.00727562749645695,-0.57377091142947,-0.432566581302351,-0.630081222124834,-0.619788102803311,-0.464723862913245,-0.961691047019868,-0.561682049622185,-0.50890379901457,-0.715745330403973,-0.595105612895033,-0.509147543673841,-0.962758089536424,-0.638717694593046,-0.722068978635762,-0.601594889654305,-0.734588540182119,-0.72716774102649,-0.923628837119205,-0.514569861316887,-0.685566062996689,-0.509746432970861,-0.593132222930066,-0.699742945221854,-0.605982196850993,-0.751615078360927
"3","STANDING",3,0.273428719636364,-0.017856067384956,-0.106492632429097,-0.623413602046921,-0.480015920697654,0.156544326025806,0.707814353343108,-0.0260590480328739,0.0480937904190616,-0.966457565630499,-0.9445645371261,0.0152071986105572,0.0701731261988856,0.0144664329060411,-0.000526818872875366,-0.635484688041056,-0.55721186773783,0.0852182319044868,-0.0248490682828446,-0.0743565308442815,0.0866875497119062,-0.699262195705865,-0.76302218170088,-0.130032880846334,-0.0991554609633431,-0.0401923943695015,-0.0521178264170088,-0.689328428607038,-0.842659862111437,-0.107025768144897,-0.563140802770059,-0.0629949821747801,-0.563140802770059,-0.0629949821747801,-0.650182434328446,0.00407820575718475,-0.643150121648094,-0.0535119465671848,-0.784056656246334,-0.121169067362152,-0.625733289873607,-0.501779938505279,-0.699656828592375,-0.623805015199413,-0.502753639795894,-0.979676490821114,-0.645893496630499,-0.582949919157742,-0.780101644193548,-0.657844055881525,-0.559851186088408,-0.980556463255132,-0.642097719778592,-0.775144985073314,-0.670734708996481,-0.719276622702346,-0.758505287214076,-0.976900586774194,-0.579076453758064,-0.672093167772434,-0.604752108072727,-0.561776583640469,-0.716822144279179,-0.577542913560537,-0.810085498651026
"4","SITTING",4,0.272539814977012,-0.0196269625326897,-0.11315608545977,-0.281964430525287,-0.17613742984931,-0.0454573220166667,0.764436780229885,0.044337788916092,0.125457421218391,-0.956953066206897,-0.938823037356322,0.245779510028736,0.0775713294482759,0.0174117419027931,-0.00360800725517241,-0.336788403446092,-0.251158235097701,-0.0477371271931034,-0.0232873082755172,-0.0839998463471264,0.0868888209068965,-0.483022565356322,-0.667520037241379,-0.0236662461712644,-0.116189387751724,-0.035932478745977,-0.0493020654252874,-0.503054162298851,-0.849875585632184,0.00884294913965517,-0.241791763733333,0.0334740241275862,-0.241791763733333,0.0334740241275862,-0.382594780214138,-0.038260096862069,-0.43332133988046,0.0367785837770115,-0.686436698735632,-0.114001728049425,-0.334927219252874,-0.183638950334483,-0.611943277701149,-0.263682625386207,-0.228399871908161,-0.968012217126437,-0.372550915445977,-0.285192418755862,-0.720976018160919,-0.360214003509195,-0.265772746463218,-0.969446468735632,-0.366240979524138,-0.732761832528736,-0.515054256965517,-0.522176196827586,-0.637891595977012,-0.879054275977011,-0.32662695802069,-0.679476579735632,-0.35743173438046,-0.475163705148276,-0.577405288747126,-0.589014315413793,-0.719798534367816
"5","STANDING",4,0.274804706269565,-0.0129853880308261,-0.105390061443478,-0.727483531531739,-0.636189818846522,0.09113686803,0.684713020826087,0.138408788421064,0.178759559052174,-0.964786981173913,-0.942397919143478,0.0836766409304348,0.0793526696926087,-0.00174378580688261,-0.00879818509382609,-0.743464505665217,-0.709988127986957,0.183902574736904,-0.031080660126087,-0.0767269628026087,0.0990570253634783,-0.784000472965217,-0.847680387434783,-0.0704703385093478,-0.104708375420435,-0.0415975150691304,-0.0610267445426957,-0.807283824913044,-0.922409330043478,-0.0907140383065217,-0.682546319061304,-0.075909553391,-0.682546319061304,-0.075909553391,-0.75957880426087,0.00771154870282609,-0.740631826869565,0.0659319669756957,-0.869407264695652,-0.150830990813043,-0.739969365652174,-0.655273777351739,-0.809437242608696,-0.723840788472826,-0.650508323306087,-0.987403187826087,-0.757736461280435,-0.72141722826087,-0.864561654652174,-0.752202422547826,-0.717955887352174,-0.988296734826087,-0.746146181156522,-0.86888673,-0.755222676782609,-0.797239840256522,-0.837731345304348,-0.964969502913044,-0.706297967808696,-0.54673685801,-0.740019407930435,-0.595265715852174,-0.809291430826087,-0.504641368530435,-0.883859369434783
"6","STANDING",5,0.279177960301325,-0.0154833455336192,-0.105661736816887,-0.507691011391722,-0.402724906078146,0.183328842972351,0.698153719072848,0.112313109736755,0.0921607197449904,-0.964629108807947,-0.939973777950331,0.119310090465795,0.0841019899622517,0.0017656830384106,-0.0029537113427351,-0.575890535679801,-0.506544358609603,0.17715523763904,-0.0294516873643046,-0.0774316445596026,0.0866267116745033,-0.709955676983444,-0.705638306688742,-0.109456425406623,-0.103522877147351,-0.0490624519374172,-0.0506258160122517,-0.662581310334437,-0.774114270364238,-0.0340190859350993,-0.460866415568709,-0.0632658570116026,-0.460866415568709,-0.0632658570116026,-0.589313870006622,-0.0313219733798013,-0.602770284825828,-0.0977463073887417,-0.707383517582782,0.0532652248103642,-0.55123770513245,-0.440232431795033,-0.696171811490066,-0.492829885748675,-0.422162171100331,-0.977865027350993,-0.604769869438742,-0.550991969857417,-0.768762357980132,-0.584013626983444,-0.491500434303907,-0.979199594966887,-0.632239300829801,-0.71706218781457,-0.537329127293278,-0.73573857718543,-0.702290390960265,-0.938884676423841,-0.528503022745033,-0.622500047417219,-0.573176177044172,-0.584574026338079,-0.677355755703311,-0.628709449615894,-0.748829309536424
"7","STANDING",6,0.272376614181538,-0.0175697042641846,-0.11599454136,-0.505086085072062,-0.368403670137262,0.112372982983877,0.688702063569231,0.0162055455953846,0.0475199990906462,-0.958898709015385,-0.9509348864,0.17538089676,0.0813833604034769,0.000479281129661539,-0.00225896302076923,-0.531468310262154,-0.454437496885815,0.126975393173292,-0.0433611785374462,-0.0706129097498462,0.0973130293888923,-0.653800660041538,-0.626252072652308,-0.180886790116062,-0.0829159966093231,-0.0454921005615385,-0.0533610323667692,-0.546009968372308,-0.677635980501539,-0.203990054925538,-0.464770006998123,-0.0309695179415385,-0.464770006998123,-0.0309695179415385,-0.551413652396923,-0.0325159345524923,-0.549494852037046,-0.110977092557034,-0.621936158532308,-0.0325382515803077,-0.506174926221538,-0.392041410138769,-0.683725945015385,-0.506680276530492,-0.396677793847908,-0.949474152707692,-0.549394273848923,-0.503558973703692,-0.720867157741538,-0.555346159400332,-0.437837459287385,-0.947472011790769,-0.537201442069846,-0.621188724858462,-0.507604207506462,-0.692862440004,-0.633236229753846,-0.903332518861538,-0.473974924380431,-0.597637325353846,-0.494882316238462,-0.608244930483077,-0.579130051151385,-0.728848991710769,-0.651886909221538
"8","SITTING",7,0.26975303484739,-0.0197172891035341,-0.113423584203213,-0.485187847278715,-0.456689568218876,0.278700432065984,0.642454313855422,-0.0456977800429719,0.0394602698100442,-0.957858092349398,-0.955033427429719,0.0937819073196787,0.0836716912514056,0.00696488153534137,-0.00864496194248996,-0.528796993420683,-0.540023028026908,0.319535086973896,-0.056196167979759,-0.059643871854739,0.102900904185984,-0.625450021895582,-0.581579749100402,-0.171005382311566,-0.0941973969615502,-0.0422900145865462,-0.0636891701071486,-0.637273681522892,-0.603126605369076,-0.317164499393976,-0.412083624852209,0.0091970193173494,-0.412083624852209,0.0091970193173494,-0.539232472351526,0.0241536361333333,-0.501441433911647,0.00840478709578313,-0.649748892682731,0.130184275046185,-0.504482546899598,-0.473237529291566,-0.437201882291687,-0.478681597779518,-0.483349198381526,-0.932205347630522,-0.556494139779518,-0.563194917372972,-0.565807510943293,-0.542755182738956,-0.546316348600803,-0.934081173855422,-0.572561349140562,-0.552659990730522,-0.582576783096385,-0.645724032746988,-0.605575545076305,-0.960616708192771,-0.421909187971888,-0.532851783906426,-0.454728752709719,-0.452593699407631,-0.555096296344056,-0.493117717863454,-0.59597963217739
"9","STANDING",7,0.272147411016949,-0.0148790771762712,-0.108562358525424,-0.967184238135593,-0.925026000677966,0.29771885778983,0.845185170677966,-0.0265097204440678,0.0120837753338983,-0.950967695084746,-0.956490563220339,0.417964645067797,0.081120334440678,0.0103279081584746,-0.00484609525677966,-0.979491743728814,-0.973177461525424,0.161291996742373,-0.0336209423525424,-0.0855567964576271,0.0761010826610169,-0.947573399491525,-0.951330662881356,-0.424618196389831,-0.094230497338983,-0.0378533843271186,-0.0498115394966102,-0.973763780508475,-0.97791306220339,-0.254100773820339,-0.930089571694915,-0.0929018041389831,-0.930089571694915,-0.0929018041389831,-0.975565607288136,-0.0956467019101695,-0.921461890338983,0.0372025653576271,-0.980940017118644,-0.129804618728814,-0.966632588135593,-0.944687678644068,-0.926890869322034,-0.967649575084746,-0.920279976271186,-0.998331277966102,-0.979486725254237,-0.972951938983051,-0.966250347118644,-0.981423200508475,-0.975507990847458,-0.999291566949153,-0.944282004067797,-0.958589813728814,-0.961085666440678,-0.949336933728814,-0.947958669661017,-0.999718957118644,-0.925226557169492,-0.502714078579661,-0.969617348305085,-0.742495680830508,-0.940258003898305,-0.495017025237288,-0.976540026101695
"10","SITTING",8,0.270759063295374,-0.0181894974688612,-0.106809623683986,-0.582958863017438,-0.349383732046263,0.0724944851658363,0.647498175409253,0.0303211113118861,0.0836542406807936,-0.954256666035587,-0.94844645047331,0.00877554257366548,0.084215745375516,0.000860301581786477,-0.0196719912994306,-0.575993073911744,-0.458724925167972,0.127423209866459,0.00359053897160142,-0.091077509832669,0.0640867611561922,-0.656219242281851,-0.570941237019217,-0.0633462940836299,-0.104969855200356,-0.0400922240331673,-0.0582887148366548,-0.674984452240214,-0.683086930288968,-0.127257585286904,-0.468522592843416,-0.116670984978648,-0.468522592843416,-0.116670984978648,-0.534248616612028,-0.103568311138292,-0.476214943826192,0.00539242527580071,-0.673625525658363,-0.14778366546427,-0.581831414648399,-0.374944236206406,-0.550979388719929,-0.585343460535587,-0.378656458967972,-0.916322651032028,-0.59163500910605,-0.495906215569395,-0.644285802406762,-0.598546245236655,-0.45636839585694,-0.923104942348754,-0.601382421248399,-0.575938482711388,-0.525562919047438,-0.675275353078292,-0.573087292172598,-0.952248850284698,-0.512106792856939,-0.639560830626335,-0.529244911130605,-0.758706025975089,-0.609984289180071,-0.523995597193594,-0.70215621546726
